temperature,energy1,energy2,energy3,energy4,energy5,capacity1,capacity2,capacity3,capacity4,capacity5,orderParm1,orderParm2,orderParm3,orderParm4,orderParm5,binderratio1,binderratio2,binderratio3,binderratio4,binderratio5,gsop,acpt_rat,avg_len,sizeOfSample,shuffle_timestep,mcstp,loop_timestep,mid_term,Energy_per_star,k_B,date,,,average_capacity
0.2,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,0,0,0,0,0, (-0.08333333333333331+0.14433756729740652j), (-0.08333333333333331+0.14433756729740652j), (-0.08333333333333331+0.14433756729740652j), (-0.08333333333333331+0.14433756729740652j), (-0.08333333333333331+0.14433756729740652j),0.666666667,0.666666667,0.666666667,0.666666667,0.666666667, (-0.08333333333333333+0.14433756729740646j),0.089556944,6.012113889,36,5000,1296,5000,1,-1,1,05-20_01_04,,,0
0.25,-0.333328704,-0.333326389,-0.333324074,-0.333328704,-0.333328704,0.000221778,0.000332333,0.000442667,0.000221778,0.000221778, (-0.08333101851851851+0.1443348943794936j), (-0.08332908950617282+0.1443328896910589j), (-0.0833287037037037+0.14433222146158067j), (-0.08333101851851851+0.14433489437949357j), (-0.08332947530864196+0.14433355792053715j),0.666666295,0.666665952,0.666665924,0.666666295,0.66666598, (-0.08333333333333333+0.14433756729740646j),0.089437963,6.012270988,36,5000,1296,5000,1,-1,1,05-20_01_17,,,0.000288067
0.3,-0.333300926,-0.333299383,-0.333300926,-0.333305556,-0.333284722,0.001065123,0.001200823,0.001065123,0.000914815,0.001586343, (-0.08331249999999997+0.1443148474951467j), (-0.08331404320987654+0.14431618395410317j), (-0.08331404320987654+0.14431618395410317j), (-0.08331635802469134+0.14431885687201607j), (-0.08330516975308641+0.14430616051192974j),0.666663152,0.666663124,0.666663463,0.666663827,0.666662042, (-0.08333333333333333+0.14433756729740646j),0.089766667,6.011188889,36,5000,1296,5000,1,-1,1,05-20_01_30,,,0.001166445
0.35,-0.333121142,-0.333176698,-0.33314892,-0.333143519,-0.333151235,0.004896542,0.003979535,0.004672959,0.00483424,0.004511867, (-0.08323302469135803+0.14421995890923825j), (-0.08325655864197529+0.14424869277680208j), (-0.0832426697530864+0.14423265526932458j), (-0.0832445987654321+0.1442333234988028j), (-0.08324421296296296+0.14423399172828105j),0.666651581,0.666654295,0.666651155,0.666651829,0.666652122, (-0.08333333333333333+0.14433756729740646j),0.090022531,6.013065123,36,5000,1296,5000,1,-1,1,05-20_01_43,,,0.004579029
0.4,-0.332685185,-0.33273071,-0.332806327,-0.332827932,-0.332780093,0.013090278,0.010971446,0.010023683,0.010705898,0.010585026, (-0.0830204475308642+0.14397204577281536j), (-0.08306520061728395+0.144014812459422j), (-0.08308371913580247+0.14404154163855118j), (-0.08308603395061728+0.14405089685124636j), (-0.0830756172839506+0.14403419111429067j),0.666612072,0.666623148,0.666626468,0.666619988,0.666626748, (-0.08333333333333333+0.14433756729740646j),0.091111883,6.017075309,36,5000,1296,5000,1,-1,1,05-20_01_56,,,0.011075266
0.45,-0.332012346,-0.331902778,-0.332057099,-0.332079475,-0.332002315,0.020084804,0.021866651,0.019731306,0.020227004,0.022463706, (-0.0826766975308642+0.14357578569222573j), (-0.08259760802469136+0.1434962663843165j), (-0.0827307098765432+0.1436212252967453j), (-0.08271489197530864+0.14361253831352833j), (-0.08268595679012344+0.14358113152805155j),0.666555785,0.666536647,0.666560815,0.666563014,0.666546379, (-0.08333333333333333+0.14433756729740646j),0.093398611,6.021672222,36,5000,1296,5000,1,-1,1,05-20_02_09,,,0.020874694
0.5,-0.330779321,-0.330717593,-0.330757716,-0.330693673,-0.330543981,0.030894753,0.031820679,0.032381963,0.03307333,0.035453009, (-0.08211072530864198+0.14291223382034457j), (-0.08205439814814815+0.14283739211878296j), (-0.08204243827160494+0.14283939680721766j), (-0.08201890432098764+0.14279997126800215j), (-0.08185918209876543+0.14266365245444348j),0.666462135,0.666440732,0.666442283,0.666427281,0.666392109, (-0.08333333333333333+0.14433756729740646j),0.096998611,6.034696914,36,5000,1296,5000,1,-1,1,05-20_02_22,,,0.032724747
0.55,-0.328705247,-0.328670525,-0.3286875,-0.3284375,-0.328589506,0.053565952,0.050089662,0.050766654,0.050805976,0.051857198, (-0.08095486111111108+0.1415731019459742j), (-0.08101157407407407+0.14161119102623324j), (-0.08095717592592593+0.1415824571586694j), (-0.08086188271604937+0.1414641805410229j), (-0.08094868827160494+0.14156107381536606j),0.666193161,0.666216486,0.66619648,0.666196787,0.666192086, (-0.08333333333333333+0.14433756729740646j),0.102985957,6.052823457,36,5000,1296,5000,1,-1,1,05-20_02_35,,,0.051417089
0.6,-0.325546296,-0.325404321,-0.32539892,-0.32569213,-0.325503086,0.069550617,0.076872908,0.066467145,0.074917676,0.070259122, (-0.07934220679012344+0.1396780031457175j), (-0.07927777777777777+0.1396198671811116j), (-0.07926581790123456+0.1395804416418961j), (-0.07942785493827159+0.13979293861597283j), (-0.07940933641975309+0.13969537711215146j),0.6658306,0.665796061,0.665863362,0.665798828,0.665824482, (-0.08333333333333333+0.14433756729740646j),0.111910185,6.082414815,36,5000,1296,5000,1,-1,1,05-20_02_47,,,0.071613494
0.65,-0.321060185,-0.320986883,-0.321459877,-0.321077932,-0.321286265,0.093043984,0.103643435,0.097749025,0.104659418,0.094786381, (-0.07709722222222222+0.1369416034323708j), (-0.07704706790123456+0.13687878986141733j), (-0.07709182098765431+0.1370378284772358j), (-0.07692168209876543+0.13681129868411623j), (-0.07714506172839507+0.13700575346228078j),0.665233894,0.665128211,0.665143288,0.665021793,0.665195085, (-0.08333333333333333+0.14433756729740646j),0.124822377,6.121002469,36,5000,1296,5000,1,-1,1,05-20_03_00,,,0.098776449
