temperature,energy,energy2,energy3,energy4,energy5,capacity,capacity2,capacity3,capacity4,capacity5,orderParm,orderParm2,orderParm3,orderParm4,orderParm5,acpt_rat,avg_len,sizeOfSample,shuffle_timestep,mcstp,loop_timestep,mid_term,Energy_per_star,k_B,date
0.2,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,0,0,0,0,0, (-48-83.13843876330611j), (-48-83.13843876330611j), (-48-83.13843876330611j), (-48-83.13843876330611j), (-48-83.13843876330611j),0.00100005,6.44966387,24,5000,576,100,1,-1,1,05-18_02_03
0.3,-0.333291667,-0.333296875,-0.333302083,-0.333291667,-0.333270833,0.001377778,0.001206771,0.001035417,0.001377778,0.002058333, (-47.992000000000004+83.12804645846072j), (-47.9865+83.12371633144177j), (-47.993+83.12977850926828j), (-47.992000000000004+83.1280464584607j), (-47.984+83.11938620442287j),0.13450402,5.797009102,24,5000,576,100,1,-1,1,05-18_03_33
0.4,-0.332859375,-0.332855903,-0.332765625,-0.332796875,-0.332842014,0.008794173,0.008630371,0.010070215,0.010519954,0.009081066, (-47.925000000000004-82.90461190428431j), (-47.928000000000004-82.92193241236001j), (-47.92-82.91154010751458j), (-47.919000000000004-82.8942195994389j), (-47.93-82.94444907285839j),0.001988189,6.452464407,24,5000,576,100,1,-1,1,05-18_05_04
0.5,-0.330741319,-0.330756944,-0.330782986,-0.330543403,-0.330765625,0.03312466,0.032845444,0.03195166,0.03521216,0.032788604, (-47.6145-82.02039996702041j), (-47.614000000000004-82.0143377891939j), (-47.622-82.04031855130745j), (-47.5955-81.97883074763875j), (-47.6265-82.0879499485156j),0.008439082,6.473246452,24,5000,576,100,1,-1,1,05-18_06_34
0.6,-0.325498264,-0.325600694,-0.326140625,-0.325647569,-0.325666667,0.075018475,0.071527218,0.067431284,0.06937052,0.071368364, (-45.637999999999998+80.372353623618608j), (-45.703499999999998+80.44423373213273j), (-45.960000000000001+80.732620191592943j), (-45.777000000000001+80.535166399530098j), (-45.755000000000003+80.540362551952782j),0.155698942,5.862014816,24,5000,576,100,1,-1,1,05-18_02_44
0.7,-0.316467014,-0.316619792,-0.315921875,-0.315972222,-0.315079861,0.108304191,0.124538942,0.123604588,0.133893141,0.130278501, (-43.048000000000002+77.19577244253729j), (-43.042000000000002+77.221753204650824j), (-42.951000000000001+76.972337888360897j), (-43.555+46.010197652259663j), (-45.045999999999999-74.571715469070455j),0.154550719,6.106143707,24,5000,576,100,1,-1,1,05-18_04_51
0.8,-0.295890625,-0.299114583,-0.297885417,-0.298291667,-0.298034722,0.225969811,0.195268826,0.215682715,0.188303342,0.215445356, (-38.662500000000001-37.797678748171819j), (-41.831000000000003-65.984207565143947j), (-39.335999999999999+1.4220137130140464j), (-39.997-6.018876556301846j), (-41.386000000000003-64.477323362559019j),0.147263725,6.610907907,24,5000,576,100,1,-1,1,05-18_10_55
0.9,-0.281170139,-0.282753472,-0.280253472,-0.280890625,-0.277864583,0.233328798,0.197779587,0.214198654,0.207596346,0.210158393, (-32.590000000000003+24.094558784090651j), (-34.035000000000004+41.304215608095014j), (-33.404000000000003+28.014189761619019j), (-32.246499999999997+36.883155921775455j), (-33.584000000000003-1.472243186433545j),0.261574421,6.477482386,24,5000,576,100,1,-1,1,05-18_13_41
1,-0.261256944,-0.262647569,-0.261314236,-0.259423611,-0.258920139,0.187589833,0.181405859,0.177506443,0.162664611,0.19240791, (-28.424500000000002+3.3212074235133215j), (-27.365000000000002+33.50305877080479j), (-27.529+19.993062471767555j), (-29.008+10.025110074208664j), (-24.825+26.673582436560704j),0.330430556,6.698009028,24,5000,576,5000,1,-1,1,05-18_06_37
1.1,-0.247189236,-0.2469375,-0.247277778,-0.245315972,-0.246041667,0.142906105,0.126951768,0.127926102,0.122427106,0.132182048, (-22.084500000000002+19.174668465191253j), (-23.3615+18.10599311692126j), (-22.026+23.280494904533278j), (-22.648+16.530692907437363j), (-22.6655+12.151202440499459j),0.389554514,6.847170833,24,5000,576,5000,1,-1,1,05-18_06_37
1.2,-0.236935764,-0.234739583,-0.234828125,-0.235173611,-0.235925347,0.093035512,0.106560933,0.104285878,0.10125434,0.108219463, (-21.053+21.90178246170845j), (-19.3495+13.457168749406392j), (-20.403+13.456302724002606j), (-19.9705+13.102098333854771j), (-20.8745+15.062779848022739j),0.437554861,6.9791,24,5000,576,5000,1,-1,1,05-18_06_37
1.3,-0.226838542,-0.227878472,-0.228039931,-0.227887153,-0.228383681,0.086717948,0.083248517,0.073236973,0.081434738,0.079199128, (-17.8445+13.678871252775208j), (-17.407+15.122535600883866j), (-18.203500000000002+11.415080847282685j), (-16.2795+17.52575609638568j), (-17.8525+16.00328343653264j),0.476725694,7.066265278,24,5000,576,5000,1,-1,1,05-18_06_37
1.4,-0.220251736,-0.220791667,-0.219815972,-0.220692708,-0.219847222,0.067166928,0.062940249,0.064825152,0.06365756,0.071026942, (-16.788+12.6162580823317j), (-16.1305+15.47847204183927j), (-17.0225+12.275910098644415j), (-17.372+12.422268391883987j), (-15.938+12.058537722294522j),0.513690625,7.167516667,24,5000,576,5000,1,-1,1,05-18_06_37
0.95,-0.269678819,-0.2713125,-0.269513889,-0.269310764,-0.270873264,0.18852873,0.198576147,0.190955679,0.206182423,0.192964126, (-28.97+33.830416373435305j), (-30.677+29.25087403822319j), (-30.4175+24.99609122943025j), (-31.262+22.168518286074057j), (-31.0405+26.464870314248657j),0.300498611,6.568652778,24,5000,576,5000,1,-1,1,05-18_06_37
1.05,-0.252833333,-0.25209375,-0.250868056,-0.255447917,-0.253107639,0.156431998,0.141747865,0.153801335,0.164693493,0.144113599, (-24.4755+23.74728259717309j), (-27.9585+12.648301022271724j), (-24.5985+9.352208335468152j), (-25.4405+30.56636662657176j), (-25.328500000000002+14.839345293846357j),0.362529514,6.779289583,24,5000,576,5000,1,-1,1,05-18_06_37
